model,hint_status,speaker,label,precision,recall,f1-score,support,accuracy
model1,noHint,A Utterance,0,0.4429530201342282,0.9565217391304348,0.6055045871559633,69.0,0.93125
model1,noHint,A Utterance,1,0.0,0.0,0.0,9.0,0.01875
model1,noHint,A Utterance,2,0.0,0.0,0.0,8.0,0.05
model1,noHint,A Utterance,3,0.0,0.0,0.0,74.0,0.0
model1,noHint,B Utterance,0,0.6143790849673203,0.9690721649484536,0.7519999999999999,97.0,0.95625
model1,noHint,B Utterance,1,0.0,0.0,0.0,11.0,0.025
model1,noHint,B Utterance,2,0.0,0.0,0.0,15.0,0.01875
model1,noHint,B Utterance,3,0.0,0.0,0.0,37.0,0.0
model1,withHint,A Utterance,0,0.4473684210526316,0.9855072463768116,0.6153846153846154,69.0,0.95
model1,withHint,A Utterance,1,0.0,0.0,0.0,9.0,0.01875
model1,withHint,A Utterance,2,0.2,0.125,0.15384615384615385,8.0,0.03125
model1,withHint,A Utterance,3,0.0,0.0,0.0,74.0,0.0
model1,withHint,B Utterance,0,0.6103896103896104,0.9690721649484536,0.749003984063745,97.0,0.9625
model1,withHint,B Utterance,1,0.0,0.0,0.0,11.0,0.01875
model1,withHint,B Utterance,2,0.0,0.0,0.0,15.0,0.01875
model1,withHint,B Utterance,3,0.0,0.0,0.0,37.0,0.0
model2,noHint,A Utterance,0,0.43506493506493504,0.9710144927536232,0.600896860986547,69.0,0.9625
model2,noHint,A Utterance,1,0.0,0.0,0.0,9.0,0.0125
model2,noHint,A Utterance,2,0.0,0.0,0.0,8.0,0.025
model2,noHint,A Utterance,3,0.0,0.0,0.0,74.0,0.0
model2,noHint,B Utterance,0,0.5986842105263158,0.9381443298969072,0.7309236947791166,97.0,0.95
model2,noHint,B Utterance,1,0.0,0.0,0.0,11.0,0.025
model2,noHint,B Utterance,2,0.25,0.06666666666666667,0.10526315789473685,15.0,0.025
model2,noHint,B Utterance,3,0.0,0.0,0.0,37.0,0.0
model2,withHint,A Utterance,0,0.43137254901960786,0.9565217391304348,0.5945945945945946,69.0,0.95625
model2,withHint,A Utterance,1,0.0,0.0,0.0,9.0,0.025
model2,withHint,A Utterance,2,0.0,0.0,0.0,8.0,0.01875
model2,withHint,A Utterance,3,0.0,0.0,0.0,74.0,0.0
model2,withHint,B Utterance,0,0.6013071895424836,0.9484536082474226,0.7360000000000001,97.0,0.95625
model2,withHint,B Utterance,1,0.0,0.0,0.0,11.0,0.01875
model2,withHint,B Utterance,2,0.0,0.0,0.0,15.0,0.025
model2,withHint,B Utterance,3,0.0,0.0,0.0,37.0,0.0
